900.8,32
901,32
901.2,34
901.4,32
901.6,34
901.8,32
902,34
902.2,32
902.4,32
902.6,32
902.8,32
903,32
903.2,34
903.4,32
903.6,34
903.8,32
904,32
904.2,32
904.4,32
904.6,31
904.8,32
905,32
905.2,32
905.4,32
905.6,32
905.8,32
906,32
906.2,32
906.4,34
906.6,32
906.8,34
907,31
907.2,31
907.4,32
907.6,32
907.8,32
908,32
908.2,32
908.4,32
908.6,32
908.8,32
909,32
909.2,32
909.4,32
909.6,32
909.8,32
910,32
910.2,34
910.4,32
910.6,32
910.8,32
911,32
911.2,34
911.4,32
911.6,32
911.8,32
912,32
912.2,32
912.4,32
912.6,32
912.8,32
913,32
913.2,31
913.4,32
913.6,32
913.8,31
914,32
914.2,32
914.4,32
914.6,32
914.8,31
915,31
915.2,31
915.4,31
915.6,32
915.8,32
916,32
916.2,31
916.4,34
916.6,32
916.8,31
917,32
917.2,31
917.4,31
917.6,32
917.8,31
918,32
918.2,31
918.4,32
918.6,32
918.8,32
919,31
919.2,32
919.4,31
919.6,31
919.8,31
920,31
